Date,Global,LATINO,REP DOM,Argentina,Bolivia,Brasil,Chile,Colombia,Costa Rica,Ecuador,El Salvador,Guatemala,Honduras,México,Paraguay,Perú,Panamá,Uruguay,Venezuela
2013-04-30,2.91271,3.15711,3.79198,12.10234,3.05588,1.72653,1.40805,1.30572,2.76178,6.4728,3.66372,2.6348,5.78741,1.69351,2.70928,1.31517,1.49164,1.53011,8.20872
2013-05-01,2.91718,3.15272,3.67935,12.14618,3.08874,1.71876,1.40194,1.26344,2.68839,6.47415,3.65744,2.56311,5.71208,1.68877,2.74264,1.28574,1.48018,1.5596,8.31602
2013-05-02,2.87733,3.1262,3.68182,12.04992,3.09724,1.70718,1.39358,1.21073,2.73838,6.47406,3.63391,2.57358,5.72038,1.66951,2.7516,1.24961,1.45536,1.55469,8.26993
2013-05-03,2.79343,3.07299,3.57825,12.03503,2.98518,1.66356,1.34647,1.20856,2.64826,6.44553,3.53722,2.45391,5.61084,1.62711,2.60686,1.22197,1.36446,1.45416,8.14284
2013-05-06,2.78535,3.06398,3.57755,12.05455,2.96285,1.63994,1.34272,1.22009,2.60521,6.44134,3.51247,2.42902,5.58917,1.62024,2.58386,1.2181,1.39593,1.43361,8.08538
2013-05-07,2.77714,3.05367,3.56474,12.08422,2.94537,1.62817,1.33776,1.21409,2.58798,6.43129,3.49213,2.38266,5.572,1.60832,2.56587,1.20903,1.37302,1.43001,8.06657
2013-05-08,2.79534,3.07352,3.57008,12.02615,2.96359,1.65643,1.34307,1.24002,2.60526,6.42141,3.50706,2.36283,5.58929,1.60709,2.52231,1.21344,1.39186,1.44859,8.19126
2013-05-09,2.75587,3.03735,3.5682,11.94478,2.89722,1.62953,1.32014,1.20671,2.52575,6.41918,3.46014,2.32279,5.55712,1.56491,2.48522,1.16395,1.35057,1.41619,8.20647
2013-05-10,2.75183,3.02313,3.43742,11.92678,2.77474,1.61809,1.2853,1.18412,2.45252,6.39221,3.38922,2.22749,5.4688,1.52762,2.36354,1.12145,1.30572,1.35535,8.42369
2013-05-13,2.78563,3.05827,3.51018,11.90984,2.75875,1.66594,1.3165,1.24309,2.43703,6.38612,3.38722,2.20815,5.45327,1.55259,2.34676,1.1523,1.34454,1.40268,8.46051
2013-05-14,2.76034,3.01789,3.4775,11.77491,2.71949,1.63821,1.30749,1.21869,2.39771,6.37903,3.34387,2.16643,5.41506,1.51475,2.30717,1.12202,1.30363,1.36373,8.35443
2013-05-15,2.80421,3.06992,3.48043,11.86445,2.72586,1.69795,1.30705,1.28012,2.42482,6.37556,3.4005,2.21139,5.42124,1.56663,2.31341,1.1963,1.34656,1.4009,8.40661
2013-05-16,2.85769,3.13542,3.50883,11.83862,2.80362,1.79147,1.35908,1.35478,2.53379,6.39189,3.46627,2.29095,5.49687,1.65739,2.39172,1.30944,1.42495,1.49945,8.29282
2013-05-17,2.76589,3.07848,3.46312,11.57201,2.72797,1.76802,1.33445,1.32079,2.45869,6.3688,3.41018,2.23872,5.4232,1.63262,2.31514,1.31423,1.36009,1.45745,8.02468
2013-05-20,2.8006,3.10734,3.45774,11.48373,2.71736,1.77832,1.35233,1.34149,2.44845,6.37005,3.40006,2.22692,5.41305,1.66331,2.30396,1.34568,1.35461,1.44727,8.26038
2013-05-21,2.84752,3.15043,3.34101,11.49146,2.74352,1.82989,1.35763,1.38792,2.47412,6.3742,3.47105,2.3767,5.43849,1.69607,2.33059,1.41784,1.43124,1.57828,8.20715
2013-05-22,2.77674,3.09999,3.2475,11.2678,2.65086,1.80611,1.35502,1.35818,2.40237,6.34645,3.41797,2.32503,5.34834,1.64558,2.23755,1.33866,1.43773,1.55615,8.0727
2013-05-23,2.88129,3.18683,3.41135,11.41239,2.78914,1.90545,1.38882,1.45302,2.45214,6.34587,3.49186,2.33518,5.35571,1.75622,2.24552,1.45633,1.48557,1.61222,8.13627
2013-05-24,2.92174,3.21706,3.48384,11.43706,2.80082,1.92793,1.40736,1.47538,2.48473,6.34235,3.54307,2.37647,5.40293,1.78268,2.32007,1.49413,1.51333,1.62985,8.19594
2013-05-28,2.914,3.22755,3.47175,11.27911,2.67869,1.9844,1.43778,1.50789,2.44864,6.29317,3.52561,2.33605,5.39165,1.82144,2.26054,1.55517,1.49016,1.53184,8.15018
2013-05-29,3.05738,3.35712,3.7459,11.47554,2.95169,2.04743,1.46953,1.6771,2.64034,6.27406,3.76829,2.45442,5.54366,1.91994,2.26703,1.64504,1.57049,1.67579,8.45057
2013-05-30,3.069,3.37046,3.74383,11.57751,2.9543,2.00939,1.50089,1.63463,2.70898,6.27639,3.78561,2.50998,5.54537,1.91948,2.26933,1.63592,1.6129,1.68682,8.58681
2013-05-31,3.06872,3.38636,3.59085,11.67336,2.92499,2.07995,1.52749,1.66788,2.62107,6.2634,3.82302,2.48798,5.5172,1.95614,2.24159,1.58619,1.59635,1.72508,8.77837
2013-06-03,3.15817,3.45275,3.60466,11.6937,2.94223,2.0952,1.57251,1.70171,2.66107,6.27619,3.85194,2.50624,5.53413,1.9898,2.38606,1.61462,1.68148,1.80451,9.16756
2013-06-04,3.14881,3.45432,3.51292,11.8254,2.93384,2.08658,1.5611,1.6495,2.67054,6.27577,3.83774,2.49614,5.52557,1.96025,2.3778,1.56664,1.66878,1.82692,9.37943
2013-06-05,3.24734,3.53405,3.59961,11.94866,3.11315,2.14679,1.61223,1.69376,2.77374,6.2779,3.92208,2.65617,5.64154,1.99603,2.42226,1.6222,1.72249,1.89599,9.68782
2013-06-06,3.33815,3.59231,3.61762,12.03511,3.1338,2.23095,1.65084,1.73498,2.79397,6.27843,3.94157,2.67634,5.66145,2.06448,2.44279,1.70764,1.74556,1.91554,9.78721
2013-06-07,3.2493,3.49939,3.56842,11.87105,3.05286,2.17297,1.63215,1.63995,2.71004,6.25248,4.05785,2.59353,5.73124,1.96322,2.62012,1.62193,1.67832,1.88532,9.31725
2013-06-10,3.30061,3.55644,3.65155,11.8835,3.13042,2.25885,1.66755,1.70423,2.84465,6.22644,4.10318,2.64584,5.8238,1.99406,2.69104,1.64973,1.72774,1.90922,9.42933
2013-06-11,3.50277,3.7456,3.78741,11.98338,3.15286,2.42436,1.82896,1.87549,3.10855,6.53621,4.26911,2.84584,5.84539,2.17195,2.98217,1.80747,1.87432,2.12907,9.83547
